"YEARMONTH","CPI","PPI","LCI","CCI","ACOAL_PRICE","BCOAL_PRICE","OIL_PRICE","LNG_PRICE","DEMAND_PREDICTION"
201704,97.442,101.48,91,95.6,173075.56,133091.92,563331.56,689962.06,42100
201705,97.546,101.21,91.2,96,172964.58,130157.47,546939.44,664754.06,42300
201706,97.338,100.81,91.6,96.2,175028.38,128618.11,548941.2,611605.2,42600
201707,97.499,100.89,91.9,96.3,177092.34,130300.79,546434.2,644946.94,46010
201708,98.058,101.35,92.3,96.6,174882.84,130624.74,544730.2,594980.06,46640
201709,98.172,102.03,92.5,96.9,174717.11,130668.04,533757.2,606362.06,42660
201710,98.077,102.14,92.9,97.1,174648.34,125313.7,520931.53,619608.5,41390
201711,97.347,102.04,93.1,97.5,179140.62,125875.67,523792.75,612100.44,45280
201712,97.698,102.09,93.2,97.3,173735.84,119179.58,526056.5,625549.3,50370
201801,98.106,102.52,93.5,97.6,179267.28,122037.99,530244.1,617797.3,52040
201802,98.855,102.95,93.7,97.9,187927.03,120948.38,564152.8,697593,44120
201803,98.751,102.91,94,98,193676.55,126152.39,611081.56,704624.6,47980
201804,98.931,103.04,94,98.1,188748.92,125732.01,624198,756749.94,43790
201805,98.979,103.34,94.2,98.2,183989.84,130849.49,623139.56,750117.25,44670
201806,98.779,103.37,94.4,98.5,184055.11,130454.71,619864.9,686724.25,44610
201807,98.59,103.85,94.6,98.6,179200.33,133519.6,618752.8,693144.5,48480
201808,99.462,104.32,94.5,98.6,184009.48,133781.25,621191.3,694954.2,49940
